Label,Spectral Centroid Mean,Spectral Bandwidth Mean,RMS Mean,Zero-Crossing Rate Mean,Spectral Contrast Mean,Pitch Mean,Pitch Confidence Mean,Mel Spectrogram Mean,Mel Spectrogram Variance,Energy Mean
Neutral,2371.142318,2365.998727,0.128211617,0.067186378,21.27024136,1275.366699,0.145922735,5.556802273,3844.222168,0.128211617
Neutral,1643.907705,2150.719602,0.099997178,0.034628682,20.49550245,1030.047607,0.125178128,4.704855919,3092.365234,0.099997178
Neutral,1940.591847,2088.327825,0.095692284,0.056593013,20.40694795,1115.149902,0.134442165,3.520288944,1709.15271,0.095692284
Neutral,1849.927213,2416.747145,0.044385668,0.039418882,19.61938712,1222.677612,0.06625475,1.722309351,1079.772217,0.044385668
Neutral,1911.882394,2274.988411,0.056562558,0.049583558,19.70922922,1186.107178,0.080948494,1.981642604,939.8143921,0.056562558
Neutral,1769.924282,2100.411166,0.119019359,0.044507678,20.72785534,1071.465088,0.140780166,5.718706131,4021.206299,0.119019359
Neutral,1462.561481,1881.675107,0.127838701,0.035826374,20.54856012,1039.211914,0.164429933,5.65323782,2727.398926,0.127838701
Neutral,1409.898311,1874.75718,0.113734543,0.032041352,20.24569039,1074.109863,0.157422975,4.400042534,1178.610596,0.113734543
Neutral,1601.523842,1826.002579,0.151503339,0.042258217,21.48427959,1262.811768,0.216822013,6.287230968,2119.764893,0.151503339
Neutral,1633.61719,2059.058339,0.09098649,0.039108522,20.0309188,1017.971313,0.121963978,3.760561705,1698.538818,0.09098649
Neutral,1544.262521,2157.532355,0.05135512,0.032463407,19.83927057,994.0168457,0.067664407,1.986516833,734.3334351,0.05135512
Neutral,1693.825437,2074.137871,0.095090896,0.042726293,20.29767218,1320.144897,0.137206838,3.323270082,926.6483765,0.095090896
Neutral,1825.557429,2263.031238,0.075616054,0.042216685,20.01192546,1082.878052,0.099758245,2.71545887,1086.631226,0.075616054
Neutral,1422.71149,1960.315518,0.082356699,0.03161593,20.059366,927.6905518,0.106981754,3.212406874,1302.448364,0.082356699
Neutral,1654.73216,2091.334672,0.087018318,0.040177651,20.12661914,980.9204102,0.109738462,3.294466972,1586.519653,0.087018318
Neutral,1433.568799,1914.956982,0.115320005,0.031346911,20.4016328,1029.972046,0.134605095,4.782910824,2051.374756,0.115320005
Neutral,1466.104112,1959.803172,0.099426389,0.033649874,20.39119976,1060.273071,0.130859733,4.539784431,2943.495361,0.099426389
,2012.831981,2180.765988,0.086684354,0.055303745,20.34086419,1358.819336,0.113299452,3.380906343,1592.751831,0.086684354
Neutral,2263.246333,2355.544419,0.085418388,0.067003307,20.32918653,1212.152954,0.107209511,3.336393595,1878.607422,0.085418388
Neutral,1876.404698,2377.753142,0.057025276,0.043617307,19.48847073,1035.726318,0.077353336,2.462926626,1424.80957,0.057025276
Neutral,2004.353237,2147.224968,0.087408252,0.056371228,19.97004356,1234.531616,0.122192517,3.44647336,1505.505005,0.087408252
Neutral,2043.524171,2261.383125,0.057035796,0.056160201,19.69320536,1308.486206,0.08970762,1.611448884,304.415802,0.057035796
Neutral,1507.209173,1983.402771,0.11201565,0.034499596,20.49228569,1007.610901,0.148826241,5.098842144,2530.839111,0.11201565
Neutral,1376.115689,1771.857438,0.204965487,0.033084142,22.90872929,1027.727539,0.234981835,10.62362862,7983.908203,0.204965487
Neutral,1773.066186,2088.866235,0.092731893,0.045744657,20.19574309,1127.024414,0.107032523,3.932057381,2185.903076,0.092731893
Neutral,1740.400012,2193.795646,0.078806825,0.040700207,20.19494315,1237.740234,0.101947479,3.386213064,1726.995239,0.078806825
Neutral,1880.656987,2335.91478,0.035601784,0.046599991,19.12121521,1095.581177,0.058903012,0.894004464,132.1289368,0.035601784
Neutral,1897.373042,2272.429212,0.072912656,0.04925018,19.8538931,1269.478394,0.093649901,2.680719376,1773.884399,0.072912656
Neutral,1794.804704,2184.257625,0.086400948,0.044809071,19.75397451,1119.834961,0.106861368,3.723491907,2441.525635,0.086400948
Neutral,1693.619914,1967.876577,0.16873917,0.044220283,20.96168876,1159.48999,0.203577146,8.26039505,5220.566895,0.16873917
Neutral,1809.951142,2241.477845,0.044882234,0.044719535,19.53950075,1121.109863,0.066678017,1.25217104,231.9033203,0.044882234
